N,T (s),b/N,ncomparisons,nswaps,log(N),log(T)
10,1.49832600000002e-05,0.2,40,11,3.321928094887362,-16.02628892045684
10,1.4480729999999938e-05,0.5,40,10,3.321928094887362,-16.075506141295165
10,1.4582580000000007e-05,1.0,40,10,3.321928094887362,-16.065394485641782
10,1.579369999999983e-05,2.0,46,10,3.321928094887362,-15.950291282571326
10,1.695250999999985e-05,4.0,45,10,3.321928094887362,-15.848141578864977
10,1.6773560000000033e-05,8.0,45,10,3.321928094887362,-15.86345155719356
50,0.00016459319999999878,0.24,764,63,5.643856189774724,-12.568807646031276
50,0.00019120729999999925,0.5,966,54,5.643856189774724,-12.352574775306346
50,0.0001969885000000005,1.0,974,54,5.643856189774724,-12.309600970564464
50,0.0002162010000000123,2.0,1127,50,5.643856189774724,-12.1753391835272
50,0.00022982600000000274,4.0,1186,49,5.643856189774724,-12.087170361594808
50,0.00022691199999999866,8.0,1194,49,5.643856189774724,-12.105579473127527
100,0.0005644980000000146,0.25,3055,123,6.643856189774724,-10.790743909968661
100,0.0006550189999999816,0.5,3678,111,6.643856189774724,-10.576175624337237
100,0.0007072439999999744,1.0,4007,102,6.643856189774724,-10.465504347174297
100,0.0007660479999999836,2.0,4361,101,6.643856189774724,-10.350277586364834
100,0.0008106779999999958,4.0,4691,100,6.643856189774724,-10.268583387486409
100,0.0008761210000000119,8.0,4826,100,6.643856189774724,-10.15658224711472
500,0.013717460000000016,0.25,81440,607,8.965784284662087,-6.187842820847621
500,0.015358250000000169,0.5,92209,554,8.965784284662087,-6.024842352632035
500,0.017199549999999987,1.0,103855,514,8.965784284662087,-5.861485370269513
500,0.018151299999999537,2.0,112218,499,8.965784284662087,-5.783783311725109
500,0.018999620000000165,4.0,118341,499,8.965784284662087,-5.71788562540785
500,0.01965201000000036,8.0,123194,499,8.965784284662087,-5.669179311452086
1000,0.05123259999999732,0.25,319517,1237,9.965784284662087,-4.286794080884434
1000,0.06003389999999627,0.5,373562,1097,9.965784284662087,-4.058078796541019
1000,0.06659219999999663,1.0,415943,1018,9.965784284662087,-3.908502986657406
1000,0.07169150000000286,2.0,447487,1005,9.965784284662087,-3.8020541117789497
1000,0.07439650000000028,4.0,464549,999,9.965784284662087,-3.7486214387561585
1000,0.07734120000000075,8.0,482245,999,9.965784284662087,-3.6926190408101793
