N,T (s),b/N,ncomparisons,nswaps,log(N),log(T)
10,1.3762049999999988e-05,0.2,20,15,3.321928094887362,-16.148945084008293
10,1.2357160000000107e-05,0.5,30,10,3.321928094887362,-16.30429326231978
10,1.458562999999998e-05,1.0,36,12,3.321928094887362,-16.065092772242796
10,1.4173859999999934e-05,2.0,41,9,3.321928094887362,-16.10640777020301
10,1.4488970000000165e-05,4.0,43,9,3.321928094887362,-16.074685435008398
10,1.5983400000000075e-05,8.0,45,10,3.321928094887362,-15.93306614242954
50,0.00012516980000000047,0.24,452,92,5.643856189774724,-12.963825857581266
50,0.00014401670000000025,0.5,644,66,5.643856189774724,-12.761476265033032
50,0.00017104360000000157,1.0,838,56,5.643856189774724,-12.513348256273797
50,0.00020012859999999933,2.0,957,55,5.643856189774724,-12.28678502475079
50,0.00020838600000001861,4.0,1073,52,5.643856189774724,-12.22845402328141
50,0.00021118799999999283,8.0,1098,50,5.643856189774724,-12.209184518491092
100,0.00036440600000000245,0.25,1644,188,6.643856189774724,-11.42216566602149
100,0.0004719399999999894,0.5,2480,140,6.643856189774724,-11.049108925057118
100,0.0005898439999999994,1.0,3299,112,6.643856189774724,-10.727378933863744
100,0.0006864290000000039,2.0,3891,107,6.643856189774724,-10.508601874974815
100,0.0007674759999999879,4.0,4417,100,6.643856189774724,-10.347590743362884
100,0.0008147600000000068,8.0,4723,100,6.643856189774724,-10.261337225482961
500,0.006841560000000016,0.25,39708,894,8.965784284662087,-7.1914589613557425
500,0.01087270000000018,0.5,62996,674,8.965784284662087,-6.523145942793426
500,0.014356129999999894,1.0,85594,555,8.965784284662087,-6.12218929731849
500,0.016955440000000124,2.0,101714,506,8.965784284662087,-5.882107966450506
500,0.019345699999999796,4.0,114477,503,8.965784284662087,-5.691843257930408
500,0.018971380000000124,8.0,117402,500,8.965784284662087,-5.72003156391179
1000,0.026562999999998737,0.25,159713,1866,9.965784284662087,-5.234438097280146
1000,0.040472299999999,0.5,248223,1337,9.965784284662087,-4.626921351533243
1000,0.05526729999999987,1.0,341807,1105,9.965784284662087,-4.177430056176115
1000,0.06473359999999957,2.0,400712,1037,9.965784284662087,-3.949341451732703
1000,0.07171240000000126,4.0,446019,1012,9.965784284662087,-3.8016335886751045
1000,0.08016179999999906,8.0,481502,999,9.965784284662087,-3.640941285758614
