N,T (s),b/N,ncomparisons,nswaps,log(N),log(T)
10,2.0620700000000624e-05,0.2,22,17,3.321928094887362,-15.565547166493726
10,4.2275699999999e-05,0.5,34,33,3.321928094887362,-14.52981183149484
10,4.824299999999653e-05,1.0,40,39,3.321928094887362,-14.339320850147747
10,7.288659999999822e-05,2.0,56,53,3.321928094887362,-13.743986871002836
10,7.12914000000012e-05,4.0,56,52,3.321928094887362,-13.77591242197058
10,6.343380000000138e-05,8.0,47,47,3.321928094887362,-13.944388705071525
50,0.0004043389999999931,0.24,424,310,5.643856189774724,-11.272147015927455
50,0.0006672169999999937,0.5,670,501,5.643856189774724,-10.549556331919096
50,0.0007871529999999893,1.0,720,546,5.643856189774724,-10.31106829796176
50,0.0007781659999999988,2.0,718,540,5.643856189774724,-10.327634432781434
50,0.0007621740000000158,4.0,715,548,5.643856189774724,-10.357591985136999
50,0.0007435660000000439,8.0,719,545,5.643856189774724,-10.393251575877272
100,0.0013784550000000308,0.25,1465,1093,6.643856189774724,-9.502732113677038
100,0.0014727290000000153,0.5,1552,1171,6.643856189774724,-9.40729230325336
100,0.0018727719999999976,1.0,1927,1438,6.643856189774724,-9.06060901481499
100,0.001964509000000021,2.0,1918,1434,6.643856189774724,-8.991615507435274
100,0.0018681550000000016,4.0,1903,1429,6.643856189774724,-9.064170124874495
100,0.001826816000000008,8.0,1882,1414,6.643856189774724,-9.096452954065951
500,0.012478619999999978,0.25,13521,9961,8.965784284662087,-6.324397793173877
500,0.012984349999999836,0.5,14000,10322,8.965784284662087,-6.26708239564662
500,0.01402298999999971,1.0,14329,10549,8.965784284662087,-6.156062194330805
500,0.013476259999999912,2.0,14409,10620,8.965784284662087,-6.213436021749164
500,0.013992180000000189,4.0,14451,10646,8.965784284662087,-6.159235435980188
500,0.014162659999999504,8.0,14464,10637,8.965784284662087,-6.141763935059776
1000,0.028793500000006134,0.25,30288,21800,9.965784284662087,-5.118113023112103
1000,0.02983120000000099,0.5,30794,22177,9.965784284662087,-5.067034176592735
1000,0.030070999999998092,1.0,31138,22410,9.965784284662087,-5.055483344774358
1000,0.029730799999992997,2.0,31175,22422,9.965784284662087,-5.071897905792727
1000,0.032532900000001065,4.0,31188,22437,9.965784284662087,-4.94195675906058
1000,0.03007639999999583,8.0,31235,22465,9.965784284662087,-5.055224296062744
5000,0.19291220000000067,0.25,200185,144348,12.287712379549449,-2.373983710842297
5000,0.19818479999999,0.5,200890,144790,12.287712379549449,-2.335081777194179
5000,0.19046509999999445,1.0,201285,144960,12.287712379549449,-2.3924014261431297
5000,0.18658779999999525,2.0,201493,145193,12.287712379549449,-2.42207343589441
5000,0.18988299999999753,4.0,201609,145303,12.287712379549449,-2.396817346396
5000,0.19513140000000248,8.0,201638,145361,12.287712379549449,-2.357482143802202
10000,0.4086618999999928,0.25,441444,319244,13.287712379549449,-1.2910203493102705
10000,0.4216273999999999,0.5,442900,320149,13.287712379549449,-1.245959469469058
10000,0.42823750000000016,1.0,443640,320677,13.287712379549449,-1.2235169593806676
10000,0.4302056999999991,2.0,443604,320750,13.287712379549449,-1.2169014550467654
10000,0.4297415000000001,4.0,443847,320934,13.287712379549449,-1.2184589904466732
10000,0.4201221999999916,8.0,443782,320845,13.287712379549449,-1.2511190724914558
